,text,height
47, Khách 563: Lấy cho c màu đỏ c cao 1m55 nặng 50kg chắc mặc size m đc hé e,1m55
48, Khách 577: Mẫu này 54kg m62 vừa k shop,m62
49," Khách 592: Mình có đơn hàng này. Nhưng mình 1m58, 45kg. Mặc vừa vặn hay phải bóp ạ","1m58|/| Khách 592: Mình có đơn hàng này. Nhưng mình 1m58, 45kg. Mặc vừa vặn hay phải bóp ạ"
50, Khách 1306: E muốn tìm sét đồ đi chơi. E nặng 55ky cao 1m50 eo 78 .Co mẫu nào vừa e ko gửi hình e xem với,1m50
51, Khách 1306: Shop có mẫu sét nào 55ky eo 78 cao 1m50 ko gửi e xem với,1m50
52," Khách 1313: M53kg cao 1,65 b nhed","1,65"
53," Khách 1315: Có lấy chị 2 mẫu ln nhe.cao 1m6 năng 55 kg ,eo chị 76 .",1m6
54, Khách 1315: Chị 55 kg cao 1m6,1m6
55, Khách 1316: 1m6 nặg 56kg dị mag size gì shop,1m6
56, Khách 1316: Lấy e mẫu này. Size 1m6 56kg,1m6
57, Khách 1327: Váy 1m57 nặng 54 kí vừa ko ạ,1m57
58, Khách 1331: e 55kg cao 1m6,1m6
59, Khách 1340: 47 cao 1m56,1m56
60, Shop: c cao với nặng bao nhiêu v ạ, Shop: c cao với nặng bao nhiêu v ạ
61, Khách 1347: Mẫu này 70kg mặc vừa ko shop. Cao 1m65 mua cho chị mình.,1m65
62, Khách 1349: Mình cao 1m55 nặng 44kg mặc size j được ạ,1m55
63," Khách 1365: Mình cao 1m51, nặng 50kg",1m51
64, Khách 1382: Cao 155. Nang 50kg, 155
65, Khách 1395: 1m65 nặng 55kg eo 74cm ạ,1m65
66, Khách 1407: Chi cao 1m52..năng 52ky,1m52
67, Khách 1410: Size L. 1m6 55kg.xxxxx,1m6
68, Shop: MẪU 1M53 NẶNG 43KG Ạ,1M53
69," Khách 1431: Cao 1m50, nặng 45kg",1m50
70, Khách 1306: E muốn tìm sét đồ đi chơi. E nặng 55ky cao 1m50 eo 78 .Co mẫu nào vừa e ko gửi hình e xem với,1m50
71, Khách 1306: Shop có mẫu sét nào 55ky eo 78 cao 1m50 ko gửi e xem với,1m50
72," Khách 1313: M53kg cao 1,65 b nhed","1,65 "
73," Khách 1315: Có lấy chị 2 mẫu ln nhe.cao 1m6 năng 55 kg ,eo chị 76 .",1m6
74, Khách 1315: Chị 55 kg cao 1m6,1m6
75, Khách 1316: 1m6 nặg 56kg dị mag size gì shop,1m6
76, Khách 1316: Lấy e mẫu này. Size 1m6 56kg,1m6
77, Khách 1327: Váy 1m57 nặng 54 kí vừa ko ạ,1m57
78, Khách 1331: e 55kg cao 1m6,1m6
79, Khách 1340: 47 cao 1m56,1m56
80, Shop: c cao với nặng bao nhiêu v ạ, Shop: c cao với nặng bao nhiêu v ạ
81, Khách 1347: Mẫu này 70kg mặc vừa ko shop. Cao 1m65 mua cho chị mình.,1m65
82, Khách 1349: Mình cao 1m55 nặng 44kg mặc size j được ạ,1m55
83," Khách 1365: Mình cao 1m51, nặng 50kg",1m51
84, Khách 1382: Cao 155. Nang 50kg,155
85, Khách 1395: 1m65 nặng 55kg eo 74cm ạ,1m65|/|74cm
86, Khách 1407: Chi cao 1m52..năng 52ky,1m52
87, Khách 1410: Size L. 1m6 55kg.xxxxx,1m6
88, Shop: MẪU 1M53 NẶNG 43KG Ạ,1M53
89," Khách 1431: Cao 1m50, nặng 45kg",1m50
90,Khách 812: 1m55 nặng 55kg,1m55
91,"Khách 815: Shop oi, minh 42g, cao 1m55 nhé,",1m55
92,Khách 818: 43kg 1m52 mặc vừa kg shop,1m52
93,Khách 839: 52ky cao 1m57 size nào dc ạ,1m57 
94,"Khách 839: E 53ky, eo 69, cao 1m57. Lấy size M về bóp vô đẹp k ạ",1m57
95,Khách 839: E 53ky cao 1m58 chắc vừa ha c,1m58
96,Khách 844: Minh 50ky cao 1m54 mac mau nay ok ko b,1m54 
97,Khách 847: Mẫu này 60kí cao 1m57 vừa ko ạ,1m57
98, Khách 644: 1m 50 nang 54 kg vua k shop,1m 50
99, Khách 654: Hic. em ơi c cao 155 nặng 56kg không vừa rùi,155
100, Shop: c cao 153 nặng 43 kg ạ,153
101, Khách 705: C cao 1m55 nang 55k vua ao do o e,1m55
102, Khách 718: 52kg cao 1.60,1.60
103, Khách 728: E cao 158 nặng 54 kí mặc size m dc k shop?,158
104, Khách 758: Cao 1m50. Nặng 47kg,1m50
105, Khách 764: set này có size cho mh ko cao m 55 nặng 56 kg,m 55 
106," Khách 773: B1,B2,B5 còn cái nào chốt mình vs ạ. Mình cao 1m59 nặng 55kg ạ", 1m59
107," Khách 775: Mẫu này có size 52kg, 1m57ko shop?",1m57
108, Khách 781: Chị 42 kg. Cao 1.5m ak. Thường là mặc size S. K biết bên em có nhập hàng size cỡ chị không?,1.5m
109, Khách 781: Mẫu này minh cao 1.50m nặng 42kg mặc rộng k vậy?,1.50m 
110, Khách 801: Cao 1m67 nang 56 k,1m67
111," Khách 812: shop ơi chốt giúp mình mã B1/size Sxxxxx  1m5,46,kg cho em mình mặc hôm cưới nó với (15 âm) gửi nhanh ,mình sẽ ck lun.cám ơn shop",1m5
112," Khách 812: shop ơi chốt giúp mình mã B1/size Sxxxxx  1m5,46,kg cho em mình mặc hôm cưới nó với (15 âm) gửi nhanh ,mình sẽ ck lun.cám ơn shop"," 1m5,"
113, Khách 817: E m6 50kg,m6 
114, Khách 824: Mình 54kg1m58 mặc size gì đc nhỉ,1m58
115, Khách 825: Dạ shop ơi có size cho người 1m54 nặng 57kg,1m54 
116, Khách 835: Em sét này nhé.! 1m55 nặng 58kg,1m55
117, Khách 835: 1m55 nặng 56 kg vừa ko chị,1m55
118, Khách 835: 1m55 nặng 56 kg vừa ko chị, 1m55 
119, Khách 644: 1m 50 nang 54 kg vua k shop,1m 50
120, Shop: dạ những mẫu này c nặng 56kg phải trên m6 nha c,m6
121, Khách 654: Hic. em ơi c cao 155 nặng 56kg không vừa rùi,155
122, Shop: c cao 153 nặng 43 kg ạ,153 
123, Khách 705: C cao 1m55 nang 55k vua ao do o e,1m55
124, Khách 718: 52kg cao 1.60,1.60
125, Khách 728: E cao 158 nặng 54 kí mặc size m dc k shop?,158
126, Khách 758: Cao 1m50. Nặng 47kg,1m50
127, Khách 764: set này có size cho mh ko cao m 55 nặng 56 kg, m 55
128," Khách 773: B1,B2,B5 còn cái nào chốt mình vs ạ. Mình cao 1m59 nặng 55kg ạ",1m59
129," Khách 775: Mẫu này có size 52kg, 1m57ko shop?",1m57
130, Khách 781: Mẫu này minh cao 1.50m nặng 42kg mặc rộng k vậy?,1.50m
131, Khách 801: Cao 1m67 nang 56 k,1m67
132," Khách 812: shop ơi chốt giúp mình mã B1/size Sxxxxx  1m5,46,kg cho em mình mặc hôm cưới nó với (15 âm) gửi nhanh ,mình sẽ ck lun.cám ơn shop",1m5
133," Khách 812: shop ơi chốt giúp mình mã B1/size Sxxxxx  1m5,46,kg cho em mình mặc hôm cưới nó với (15 âm) gửi nhanh ,mình sẽ ck lun.cám ơn shop",1m5
134, Khách 817: E m6 50kg,m6
135, Khách 824: Mình 54kg1m58 mặc size gì đc nhỉ,1m58
136, Khách 825: Dạ shop ơi có size cho người 1m54 nặng 57kg,1m54
137, Khách 835: Em sét này nhé.! 1m55 nặng 58kg,1m55
138, Khách 835: 1m55 nặng 56 kg vừa ko chị,1m55
139, Khách 835: 1m55 nặng 56 kg vừa ko chị,1m55
140,Khách 876: Co 47kg 1m58 ah mac k vua,1m58 
141,Khách 881: Shop tv giúp m vs. Cao 1m.47m. Nặng 40kg có sz vừa ko ạ.,1m.47m
142,Khách 903: Em cao 1m55 nặng 46,1m55 
143,Meo Meo: C ơi sét trắng này còn không ạ. E cao 158 nhưng nặng tận 52kg á có sz của e không ạ,158 
144,Liêu Bảy: 1m6 48 kí,1m6 
145,Liêu Bảy: Quần đen còn mẫu nào ạ. Gửi hình e đặt lun nha. E cao 1m6 50 kí. Mặc cỡ M,1m6 
146,Liêu Bảy: Còn 2 quần này vs váy vàng size cho người 50 kí cao 1m6,1m6
147,"Le Kim Thuy: Cao 1,7 năng 52kg mac siZe nào ạ","1,7"
148, Khách 859: mình 1m68 nặng 56kg,1m68 
149, Khách 859: Mình 58kg - 1m66 ạ,1m66 
150," Khách 864: Set áo trắng váy đen kia còn size cho ng cao m55,44kg k shop",m55
151," Khách 864: Hai mẫu này còn size cho ng 45kg,m55 k shop",m55
152," Khách 864: Hai mẫu này còn size cho ng 45kg,m55 k shop",m55
153, Khách 882: 53ký cao m50,m50
154, Khách 896: 51 kg cao 1 mét 56,1 mét 56
155, Khách 898: 50kg cao m58 mặc vừa ko ạ,m58 
156, Khách 940: Cao 1m50 nặng 50 kh,1m50 
157, Khách 948: Cao 1m6 nặng 50kg mặc m vừa k ạ,1m6 
158, Khách 948: 1m6 52kg ạ,1m6 
159," Khách 965: Chi 45kg , cao 1m50 e coi lay size nao vua gửi chi theo địa chỉ trên nha e",1m50 
160,Khách 915: Mjh cao 1m60..nang 54kg,1m60
161,Khách 947: Minh cao 1m50 48kg mac size j z shop,1m50 
162,Khách 949: Mình cao m54 năng 52 kg,m54 
163,Khách 915: Mjh cao 1m60..nang 54kg,1m60
164,Khách 947: Minh cao 1m50 48kg mac size j z shop,1m50 
165,Khách 949: Mình cao m54 năng 52 kg,m54 
166,Khách 1001: Đầm đen Size M : 1m6-54kg mặc vừa k em,1m6
167,"Khách 1004: Phuong ơi 48kg,  1m55 mặc vừa ko",1m55 
168,"Khách 1005: Cao 1m58, nặng 52kg, eo 72 mặc size gì e?",1m58
169,Khách 1022: Đầm size m mih cao 165 nặg 60kg mặc vừa koaj,165 
170,"Khách 1027: Và nếu còn 55 kg, cao 1,6, mông 105 mặc vừa k ạ","1,6"
171,Khách 1034: 50kg 1m65 mặc size j ạ,1m65 
172,Khách 1038: 44kg 1m53 bận rộng ko shop ơi,1m53 
173,Khách 1045: Còn thì lấy e lun nha c 54kg 1m54,1m54
174,Vân Lê: 1m6 50kg sz M vừa k e?,1m6 
175,My Nguyen: bộ này nữa còn ko ạ thì ship cho mình bộ này và bộ đồ xanh mặc ở nhà ạ mình cao m55 nặng 55k,m55 
176," Khách 988: Hoa nhỏ sz 49ky, 1m57 nhé em",1m57
177, Khách 996: Cao 1m63 nặng 57kg,1m63
178, Khách 1002: Size s hoặc M bạn nha mình 50kg cao m67 ạ,m67
179, Khách 60: chị cao 1m55 nặng 48kg nha cưng,1m55
180, Khách 1023: 1m55 nặng 50kg size j v c,1m55
181, Khách 1024: Cao m6 nặng 55 ký,m6
182, Khách 1027: Minh 53 kg cao 150m mac vua kg ah,150m
183," Khách 1046: Mình cao 1m57, 54kg, eo 73-74 ấy ah",1m57
184," Khách 1046: Cao 1m57, nặng 55kg, eo 73",1m57
185, Khách 1441: 53kg 1m62 ạ,1m62
186, Khách 1443: 49kg 1m 56,1m 56
187, Khách 1462: Còn kg shop còn thì ship chung đơn hôm nay e luôn nha e nặng 55 ký 1m6 ý c,1m6
188, Khách 1469: Nếu e còn sai m chị cao 153 nặng 49kg,153
189, Khách 1485: Mình 48kg 1m58 mặc có vừa k,1m58
190, Khách 1497: 53ky 1m50 ạ,1m50
191, Khách 1497: Em 1m50 53 ký vừa ko sh,1m50
192, Khách 1514: hi 48kg cao 1m53,1m53
193, Khách 1547: Em 1m 5 45 kg mặc đc k ah,1m 5
194, Khách 1549: E cao 1m68 nag 59 ki măc sz nao vua z shop,1m68
195, Khách 1549: E cao 1m68 năng 59 kí măc sz nao vua z shop,1m68
196," Khách 1562: Set này còn k ạ, em cao 1m68 58kg ạ",1m68
197, Khách 1579: chưa ah.52kg.1m58xxxxx,1m58
198, Khách 1588: 1m56 47 kg mặc size j ạ,1m56
199, Khách 1593: C mua la chak lay nên Yến tam c cai 160 52 kg,160
200, Shop: 50 kí thì cao trên m6 là ok ạ,m6
201, Khách 2490: Mình cao 1m54. Nặng 44kg,1m54
202, Khách 2497: Minh 47 ki 1m6,1m6
203, Khách 2516: E cao m50 50 ki nha c,m50
204," Khách 2538: cho em hỏi mẫu đỏ đó còn ko ạ, chị hằng mẫu cao nặng bao nhiu vậy chị"," Khách 2538: cho em hỏi mẫu đỏ đó còn ko ạ, chị hằng mẫu cao nặng bao nhiu vậy chị"
205, 1m54 47kg,1m54
206, Khách 3412: Mjk 50kg cao 1m55 eo 75 vừa m ko,1m55
207, Khách 3428: 58 kg  e m65,m65
208, Khách 3428: Dam 58 kg m65 vưa ko bn oi,m65
209, Khách 3430: Mình 56kg m62,m62
210, Khách 3436: E cao m6 52 cân mặc sz gì shop,m6
211, Khách 3444: C mẫu cao bao nhiu nặng bao nhiu vậy ạ, Khách 3444: C mẫu cao bao nhiu nặng bao nhiu vậy ạ
212, Khách 4695: 1m60 54kg ạ,1m60
213, Khách 4695: 54kg 1m60 vừa k ạ,1m60
214, Khách 4708: 50kg cao 1m55 vừa ko c,1m55
215," Khách 4724: 199 eo 73cm, cao 1,6m và cân nặng 48kg","73cm|/|1,6m"
216, Khách 4727: 1m49.49kg,1m49
217, Khách 4750: E cao 1m60 nặng 53 kí,1m60
218, Khách 4756: Mk cao 1m58 .nặng 49kg.thì mặc sai m hả sóp,1m58
219, Khách 4756: E lấy quàn này nữa ak.e cao m57 nặng 50 kg.chắc mặc size l ạ.sop tư vấn gửi cả quàn e nhé,m57
220," Khách 4795: Cao 1m50 , 50kg",1m50
221, Em 1m53 nặng 52,1m53
222, Khách 6041: 1m 50 54kg vừa ko ạ,1m 50
223, Khách 6050: mẫu này 55kg 1m6 mặc vừa ko shop,1m6
224, Khách 6051: 57ky.1m65,1m65
225, Khách 6058: M59 54kg,M59
226, Khách 6070: 1m52.52 kg,1m52
227, Khách 6085: Cao 1m58 nặng 49kh mặc vừa k ạ,1m58
228, Khách 6085: 1m58 nặng 49kg chị ạ,1m58
229, Khách 6085: E có 49kg cao 1m58 mà k vừa hả chị,1m58
230, Khách 6085: Em cao 1m58 nặng 49kg á chị,1m58
231, Cao 1m52 cân nặng 49kg!,1m52
232, Khách 6091: Gửi cho chị một váy này! Chị 48 kg cao 1m52! Số nhà 17/7 đường lái thiêu 20 thuận an bình dương!,1m52
233, Khách 6093: 1m6 nặng 56 kí vừa hả shop,1m6
234," Khách 6113: E 1m50 , 49kg , eo 75",1m50
235," Khách 6154: Dạ lam phan thu phúc . Xóm 2 , thôn an hội Bắc 1 , xã nghĩa kỳ , huyện tư nghĩa , tỉnh quảng Ngãi . Sđtxxxxx  1m55 52kg mặc OK chứ ship",1m55
236, Khách 6158: 53kg cao m6 shop tư vấn size L mà mình nhận hàng mặc rộng thênh thang,m6
237,Khách 6: E cao 1m53 nặng 52 kg,1m53
238,Khách 16: 55ki 1m50,1m50
239,"Khách 25: Nặng 45kg,cao 1m59",1m59
240,Khách 29: Mk cao 1m52 nặng 48kg,1m52
241,Khách 32: 1m48 nặng 47,1m48
242,"Khách 36: Mình 1m45, 46kg thì mặc có vừa ko ạ",1m45
243,Khách 37: Năng58 cao 1m50,1m50
244,Khách 39: Thế cho 1 set cao 1m56 nặng 50 kí chắc mặc szM,1m56
245,Khách 70: Cao m58 nằng 57kg,m58
246,Khách 71: 158 cm nặng 65kg,158 cm
247,Khách 75: Mình cao 1m6 nặng 45kg thì mặc sz gì shop,1m6
248,Khách 82: E 60kg 1m60,1m60
249,Khách 84: E 1m58 58kg ạ,1m58
250,Khách 86: Em cao 1m53 nặng 41kg nha ạ,1m53
251,Khách 88: C cao 1m63 nặng 52kg,1m63
252,Khách 89: 1m6 53kg ạ,1m6
253,Khách 98: E 50kg   cao 1m53 ạ,1m53
254,Khách 102: mình cao 1m66 49kg,1m66
255,Khách 118: E cao 1m58 46kg mặc size nào ạ,1m58
256,Khách 119: 62kg 1m60 vừa k e,1m60
257,Khách 121: E cao 150 nặng 46 kg,150
258,"Khách 122: Mình cao 1m64 , nặng 52kg",1m64
259,Khách 124: 1m55 47kg,1m55
260,Khách 125: Năgj 44kg cai 1m52,1m52
261,Khách 153: M53-46kg ạ,M53
262,Khách 154: M54 nặng 47kg ạ,M54
263,Khách 161: E nặng 47 kg cao 1m52,1m52
264,Khách 169: E cao 1m53 nặng 54kg,1m53
265,Khách 171: Vậy lấy e 1 cái 45kg 1m55,1m55
266,Khách 173: 1m58 41 cân ạ,1m58
267,Khách 187: C cao 1m50 nặng 55kg bụng hơi to 1 chút thì vừa k em,1m50
268,Khách 188: Mình cao 1m65 nặng 60kg mặc sz gì ạ,1m65
269,Khách 189: 1m55 nang 53,1m55
270,"Khách 195: Mình cao 1m56 m, nặng 50kg",1m56
271,"Khách 196: E 49kg, cao 1m6 ạ",1m6
272,"Khách 205: Cao 1m55, nặng 46kg ạ",1m55
273,Khách 206: m58 55kg,m58
274,Khách 206: 1m58 56kg vừa k,1m58
275,Khách 210: E cao 1m55 nặng 45kg,1m55
276,Khách 219: E 1m60 nag 65kg ạ,1m60
277,Khách 228: E cao 1m55 nặng 54kg thì mặc size gì vậy shop,1m55
278,Khách 235: Chiều cao 148 cân nặng 45 SĐT,148
279,Khách 246: Mk nặng 55kg cao m65,m65
280,Khách 247: 1m52 58kg vừa k shop,1m52
281,Khách 248: 53kg cao 1m56 mặc size j dc ạ,1m56
282,Khách 249: Mình cao m58 nặng 52kg,m58
283,Khách 1834: Cao m56 55kg,m56
284,Khách 1851: Mình cao m52 44kg,m52
285,Khách 1861: Mình cao 1m7 nặng 62kg,1m7
286,Khách 1862: 1m62 can nặng 53kg,1m62
287,Khách 1867: chi.bo.do.can.nang.70kg.chieu.cao.1m6.mac.co.vua.khong,1m6
288,"Khách 1868: Cao 1m6, nặg 50kg",1m6
289,Khách 1889: Mình cao 1.56 nặng 54 kg,1.56
290,Khách 1891: E cao 1m58 và nặng 59kg ạ,1m58
291,Khách 1894: Nặng 48 ký.cao 1m66,1m66
292,Khách 1895: Cao 1m63 nặng 54kg ạ,1m63
293,Khách 1897: 44kg 1m52,1m52
294,Khách 1898: Mình cao 1m58 nặng 48kg,1m58
295,Khách 1929: E cao 1m50 42kg ạ,1m50
296,Khách 1930: E cao 1m57 nặnh 58kg ạ,1m57
297,Khách 1932: Mình cao 1m56 nặng 57kg,1m56
298,Khách 1935: Em cao 1m56 nặng 56 kg,1m56
299,Khách 1936: 55kg cao m65 thì e mang vừa size gì v ạ,m65
300,Khách 1952: M6 50kg,M6
301,"Khách 1953: Mk nặng 62kg, cao 1m57 thì có mặc vừa k shop",1m57
302,Khách 1954: Mình nặng 1m55 45kg,1m55
303,"Khách 1957: Cao 1m55,nặng 51,5kf",1m55
304,"Khách 1957: Cao 1m55,nặng 51,5kg",1m55
305,"Khách 1957: 52,5kg, cao 1m55 mặc size nào vậy shop,( 86-72-97)",1m55
306,Khách 1959: Dạ e cao 1m52 nặnh 60kg a,1m52
307,Khách 1961: 1m63 nặng 59kg mặc sz L vừa k ạ ?,1m63
308,Khách 1963: Em 1m60 55kg có size không shop,1m60
309,"Khách 1965: 1m6, 50kg size m được k shop",1m6
310,Khách 1978: 1m58 nặng 50kí ạ,1m58
311,Khách 1984: 1m53 40kg a,1m53
312,"Khách 2000: Eo 80cm năng 55kg, cao 1m53",1m53
313,Khách 2004: Em cao 1m53 nặng 50-54 kg mặc size nào chị,1m53
314,Khách 2005: Mình cao 1m58 nặng 43kg mặc size nào ạ,1m58
315,Khách 2031: 1m63 63kg,1m63
316,Khách 2031: 1m63 63kg,1m63
317,"Khách 2035: Mình cao 1m60, 48kg ạ",1m60
318,Khách 2063: e 60kg 1m62,1m62
319,Khách 2063: chiều cao vs cân nặng thì s ạ,Khách 2063: chiều cao vs cân nặng thì s ạ
320,Khách 5907: E cao m50 nặng 45kg mặc size nào vừa ạ,m50
321,Khách 5912: 45kg 1m55,1m55
322,Khách 5916: 1m60 53kg,1m60
323,Khách 5933: Cao 1m52 nặng 50kg nên mặc size gì z shop,1m52
324,Khách 5934: Eo mới đẻ zay 85cm. Cao met 53. Nặng 50kg,met 53
325,Khách 5934: E 50kg cao mét 53 mặc side gì chi,mét 53 
326,Khách 5938: Mình cao 1m5 nặng 47kg,1m5
327,Khách 5941: 1m56 52kg,1m56
328,"Khách 5944: Cao 1m5,  nặng 40kg",1m5
329,Khách 5945: 55kg 1m56,1m56
330,Khách 5953: E 1m68 50kg sz mấy v ạ,1m68
331,Khách 5955: 1 m50 46 can,1 m50
332,Khách 5986: Mình nặng 55kg cao 1.63m,1.63m
333,Khách 6009: Set này 1m50 nặng 50kg mang vừa ko shop,1m50
334,Khách 6014: 1m50 46kg mặc  sai j,1m50
335,"Khách 6016: Mình 52kg, cao 1m65",1m65
336,Khách 6018: Dạ 1m62 60kg ạ,1m62
337,Shop: Dạ mẫu cao 1m64 nặng 44kg eo 60 ạ,1m64
338,Khách 6034: mẫu cao và nặng bn ạ,Khách 6034: mẫu cao và nặng bn ạ
339,"Khách 6034: Mình cao 1m50 nặng 49kg, dáng người cũng tương đối chứ k mập, có phần vai hơi rộng xíu. Vậy mình mặc size nào là vừa ạ",1m50
340,Khách 6043: C cao 1m55 nang 47 ky ak,1m55
341,Khách 6049: 1m63 56kg,1m63
342,Khách 6055: 1m50 46kg,1m50
343,Khách 6068: Nặng 48kg cao 1m 56,1m 56
344,Khách 6069: 47kg.cao 1m56,1m56
345,Khách 6071: E 51kg 1m58,1m58
346,Khách 6074: Nặng 50kg cao m57,m57
347,"Khách 6076: Em cao 1m53 , 51 cân mặc size nào vừa ạ",1m53
348,Khách 6081: 58kg 1m56,1m56
349,Khách 6082: M55 43kg nha shop,M55
350,Khách 6088: Cao 1m60 nặng 49kg,1m60
351,Khách 6093: Mình 48kg cao m54 mặc sz nào vậy,m54
352,Khách 6096: Nặng 55 cao 1m60 eo 76,1m60
353,Khách 6098: 1m54 nặng 50kg,1m54
354,Khách 6107: 1m50 nặng 50kg thì mặt sai gì zay,1m50
355,Khách 6108: 1m58 nặng 41kg,1m58
356,Khách 6115: 1m50 . 43kg mặc size gì ạ.,1m50
357,Khách 6118: Mk cao m64 nặng 52kg,m64
358,Khách 6120: Mình 67kg cao 1m55 có đầm nào đẹp hok shop,1m55
359,Khách 6125: Mình 54kg cao 1m54,1m54
360,Khách 6138: E 1m50 khoảng 56kg mặc vừa k,1m50
361,Khách 6143: Cao 155 nặng 42kg ạ,155
362,Khách 6144: Thường là nói 49kg 1m60 là ngta bít size mà,1m60
363,Khách 6144: 49kg m6,m6
364,Khách 6146: 1m57 nặng 40 kg ạ,1m57
365,"Khách 6157: Vâng shop, vậy 45kg cao 1m62 thì nên mặc size nào ạ",1m62
366,Khách 6159: E cao 152 nặng 47kg,152
367,Khách 6171: mk cao 1m40 nặng 45kg,1m40
368,Khách 6179: E cao 1m54 năng 54kg,1m54
369,Khách 6189: 1m6 nặng 61kg,1m6
370,Khách 6198: 55kg 1m6,1m6
371,Khách 6205: E 42kg cao 1m54 nhá,1m54
372,Khách 6205: 42kg cao 1m54 mặc vừa k ạ,1m54
373,Khách 6209: 55kg cao 1m60,1m60
374, Khách 8501: E 44kg cao 1m55,1m55
375, Khách 8512: 2 mẫu này 1m6 60kg có size kh ạ,1m6
376," Khách 8557: Mẫu này có sezi ko Hằng, c 51 ky, 1m54",1m54
377, Khách 8557: C 52ky cao 1m54,1m54
378, Khách 8557: Mình 52ky cao 1m54,1m54
379, Khách 8557: Mình 52 ký cao 1m54,1m54
380," Khách 144: 56kg 1,6m","1,6m"
381," Khách 144: Chị 56kg ,1;6m",1;6m
382, Khách 1632: Ao nay co szei lớn 60 kg cao 1m50 kh shop,1m50
383, Khách 1664: E 54ky m52,m52
384, Khách 1664: 52ky m52vua k c,m52
385, Khách 1664: E 55ky m52 vua k ak,m52
386, Khách 2572: Em 50kg cao 1m58,1m58
387, Khách 2573: 48kg 1m65,1m65
388, Khách 2583: M59.54 kg,M59
389, Khách 2590: Cái này còn hồng size 53kg cao 1m55 ko,1m55 
390, Khách 2617: E cao m58 nặng 47 kg,m58 
391, Khách 2617: Mình 47kg cao 1m 58,1m 58
392, Khách 2661: Chị 55kg cao 1m57,1m57
393, Khách 2665: 45kg 1m57,1m57
